,title,price,regioncode
0,아이폰12mini ,500000,2
1,아이폰12 ,500000,3
2,아이폰12mini,380000,4
3,아이폰12mini,400000,5
4,아이폰12pro,720000,6
5,아이폰12pro,3000,10
6,아이폰12mini,450000,13
7,아이폰12mini,450000,14
8,아이폰12pro,780000,16
9,아이폰12pro,20000,27
10,아이폰12mini,600000,28
11,아이폰12pro ,10000,29
12,iPhone12promax,850000,32
13,아이폰12pro,855000,33
14,아이폰12mini,480000,34
