,title,price,region
60,아이폰14 현금완납 성지가격 ! 판매합니다 아이폰13 쓸바엔 14,"840,000원",서울 구로구 개봉동
61,아이폰 13 pro max 256gb 그래파이트 판매 ( 아이폰 13 프로맥스 ),125만원,인천 미추홀구 주안2동
62,"아이폰14프로,아이폰14프로맥스 판매합니다.","1,000원",대구 동구 신기동
63,"애플, 아이폰, 아이폰13 pro",125만원,경기도 김포시 양촌읍
64,아이폰11 블랙 128GB ( iPhone 11 Black ),"350,000원",인천 미추홀구 숭의2동
65,"아이폰 13프로맥스 그래파이트, 아이폰13pro max",109만원,대구 남구 대명9동
66,"아이폰 13프로맥스 그래파이트, 아이폰13pro max",109만원,대구 남구 대명9동
67,"아이폰11프로실버,아이폰11pro실버,아이폰11프로256실버,아이폰11pro256실버","480,000원",대구 북구 읍내동
68,(미사용) 아이몰정품 아이폰X 금강불괴 액정필름(아이폰XS 호환) 액정보호필름,"9,000원",대전 서구 탄방동
69,아이폰 13프로 128g / iPHONE 13 pro 128g 팝니다.,"900,000원",전북 전주시 완산구 효자2동
70,아이패드 아이폰5 아이폰se2,"200,000원",경북 영천시 동부동
71,실버 ) 아이폰 12PRO / 아이폰 12프로 256GB,"730,000원",인천 연수구 송도동
72,[iPhone] 아이폰 11 PRO 64GB 미드나잇그린,"340,000원",경기도 수원시 영통구 매탄1동
73,아이폰 se2 화이트 128기가 아이폰 xr64 이나 아이폰 xs 64로 교환 가능하신분. 판매도 합니다,"240,000원",경기도 평택시 고덕동
74,아이폰13스타라이트256기가 배터리99 풀박+추금으로 아이폰13프로맥스 시에라블루 사요,123만 4567원,경북 포항시 북구 죽도동
75,아이폰 13프로 아이폰13pro 시에라블루 256기가 풀박‼️,103만원,서울 도봉구 쌍문동
76,아이폰12프로 256기가 iphone 12pro 실버,"680,000원",서울 강남구 청담동
77,풀박 아이폰 미니 화이트 12 64GB / iphone mini 12,"350,000원",대전 서구 갈마2동
78,아이폰11프로 iphone 11 pro 256gb 박스풀 ss급,"600,000원",부산 수영구 광안동
79,"아이폰 12 프로 , 애플케어플러스 iphone 12 pro","730,000원",경남 진주시 신안동
80,Apple iPhone 14 Pro 애플 아이폰14 프로 딥퍼블 256기가 싸게 팝니다 !,160만원,서울 마포구 도화동
81,[아이폰] 아이폰12미니 64화이트 저렴하게 팝니다.,"285,000원",경기도 남양주시 다산1동
82,아이폰13프로 안깨지는 필름 종이 촉감 매트 풀커버 필름 아이폰 필름,"6,000원",부산 남구 용호제4동
83,iPhone 13 mini 512GB (PRODUCT)RED 아이폰 13 미니 512기가바이트 프로덕트레드,100만원,경기도 안산시 단원구 초지동
84,iPhone 13 mini 512GB (PRODUCT)RED 아이폰 13 미니 512기가바이트 프로덕트레드,100만원,경기도 안산시 단원구 초지동
85,아이폰10(리퍼폰) 아이폰 X 256G 블랙 A급 팔아요,"280,000원",서울 도봉구 쌍문동
86,아이폰12pro max silver.아이폰12프로맥스 128G,"800,000원",대구 달서구 파호동
87,아이폰 12 pro(아이폰12프로) 퍼시픽블루 512gb 팝니다.,"850,000원",대구 서구 내당4동
88,아이폰12미니 128그린 쌈무그린 아이폰12mini,"409,000원",경남 창원시 성산구 상남동
89,떡메 떡메모지 흑임자떡메 다꾸 영수증떡메 아이폰스티커 이모지 이모티콘 스티커 씰스티커 아이폰 스티커,"5,000원",경기도 화성시 동탄6동
90,아이폰 14프로 / 아이폰 14pro 스블 스페이스블랙 128gb 팝니다.,150만원,인천 미추홀구 주안1동
91,아이폰X 아이폰XS 강화유리 로렌텍 새상품,"7,000원",서울 송파구 거여동
92,아이폰x 아이폰10,"190,000원",전남 순천시 조례동
93,아이폰X 아이폰XS 강화유리 로렌텍 새상품,"7,000원",서울 송파구 거여동
94,아이폰12 pro(아이폰12프로) 512gb 퍼시픽블루 팝니다,"850,000원",대구 동구 방촌동
95,아이폰8 플러스 256G / iphone 8+ 256기가 공기계,"175,000원",서울 중랑구 망우동
96,아이폰 7+ (아이폰 세븐 플러스),"190,000원",전북 익산시 부송동
97,아이폰 13 pro max 아이폰 13 프로맥스 512gb 마지막 하향,140만원,서울 관악구 신림동
98,아이폰 11 pro max 64GB 아이폰 11 프로 맥스,"550,000원",경기도 화성시 봉담읍
99,싸게 얼른 사가세요))iphone 12 아이폰 12 상태 최고,"650,000원",울산 울주군 언양읍
100,아이폰14 아이폰14플러스,"900,000원",전남 나주시 성북동
101,아이폰13pro 128 / 아이폰13프로 128 판매합니다,"850,000원",광주 광산구 쌍암동
102,오늘거래시네고O 아이폰 iphone 12 128,"590,000원",서울 관악구 신림동
103,(새상품) 정품 아이폰 이어폰 8핀 + 아이폰 충전케이블8핀,"10,000원",경기도 성남시 분당구 수내동
104,"(미개봉)애플 아이폰 고속 충전 케이블 정품 애플 충전기 라이트닝 to C 판매합니다.(애플 충전기,아이폰 충전기)","22,000원",제주 서귀포시 동홍동
105,아이폰13pro 256 시에라블루(아이폰13프로),105만원,울산 동구 전하2동
106,아이폰11pro 256 아이폰11프로 s급,"569,000원",부산 부산진구 양정동
107,미국 🇺🇸아이폰 iPhone 13 프로멕스 시에라블루 256GB,115만원,서울 강남구 논현동
108,"아이폰14 , 아이폰14플러스 512기가 팝니다",150만원,서울 관악구 봉천동
109,애플 아이패드 충전기 / 아이폰 케이블 / 아이폰 충전기,"40,000원",광주 북구 풍향동
110,아이폰 11pro 판매합니다 iphone11pro,"326,000원",경기도 구리시 수택1동
111,아이폰12 미니 64기가 블랙 풀박스 배터리100% 리퍼남은거판매 아이폰12미니 입니다,"450,000원",대구 달서구 월성동
112,아이폰11프로 512기가 아이폰11pro 512,"500,000원",경기도 용인시 수지구 상현동
113,아이폰11프로 512기가 아이폰11pro 512,"500,000원",경기도 수원시 권선구 금곡동
114,아이폰 정품 충전기 세트 새거 미개봉 iphone,"33,000원",서울 강동구 성내제2동
115,아이폰 11pro 판매합니다 iphone11pro,"326,000원",경기도 구리시 수택1동
116,아이폰11프로 512기가 아이폰11pro 512,"500,000원",경기도 수원시 권선구 금곡동
