,title,price,region
55,아이폰 12미니(아이폰 12mini) 블랙 128GB 풀박스 팔아요,"410,000원",경기도 오산시 부산동
56,아이폰13 블루 128GB --> 아이폰12 프로 실버 교환,100원,인천 계양구 계양3동
57,아이폰8이랑(성능100) 아이폰 X위로 교환하실분,,대구 수성구 지산동
58,아이폰X / 아이폰XS 케이스 골라잡으세용,나눔🧡,인천 서구 석남동
59,아이폰 12 128 gb 레드 ( iphone 12 ),"500,000원",경기도 의왕시 학의동
60,아이폰se3랑 아이폰11프로 이상으로 교환 할 사람 구합니다,9억 9999만 9999원,경기도 화성시 향남읍
61,아이폰13프로맥스 또는 아이폰14프로로 14프맥 구함,190만원,경남 김해시 주촌면
62,아이폰14프로 -> 아이폰14프로맥스 교환,,대전 서구 둔산3동
63,아이폰 12 128gb 레드 ( iPhone 12 ),"500,000원",서울 성동구 행당제1동
64,아이폰8+ 아이폰8플러스 케어베어 케이스,"7,000원",경기도 성남시 분당구 야탑2동
65,아이폰13프로 iphone 13 프로 pro 무광 하드케이스,"15,000원",부산 사상구 주례동
66,단순개봉 새제품 애플 se3/se2 아이폰 7/아이폰 8케이스 카드수납 팝니다 !,"4,000원",부산 북구 금곡동
67,아이폰 12 프로맥스 512 / 아이폰12 pro max 그래파이트,"850,000원",대구 서구 비산동
68,아이폰 13프로 128G/아이폰 13PRO 128G,"900,000원",경남 김해시 장유1동
69,아이폰14 프로맥스 promax iphone14 스페이스블랙 space black 128gb 128기가,168만원,인천 연수구 송도3동
70,아이폰se3 se2 아이폰8 폰케이스,"3,000원",대구 달서구 신당동
71,아이폰 x 단품팝니다! (iphone X),"200,000원",경기도 고양시 덕양구 행신3동
72,"아이폰 12pro 256, 아이폰12프로","730,000원",전북 군산시 소룡동
73,아이폰13 팝니다. 자급제 아이폰,"700,000원",부산 금정구 장전동
74,아이폰x 256g 스그 A급 아이폰 판매 급매,"239,000원",경기도 파주시 탄현면
75,아이폰 12프로 128기가 a급이랑 아이폰 13이랑 교신합니다,"2,000원",경기도 성남시 수정구 위례동
76,아이폰6s 64gb 정상작동 공기계 아이폰 공기계,"100,000원",서울 서초구 우면동
77,"아이폰 충전기 , 아이폰12미니 보호필름","5,000원",부산 수영구 광안동
78,ESR 액정 강화유리 팝니다 (아이폰7/아이폰8 플러스용),"5,000원",충북 청주시 청원구 율량.사천동
79,아이폰6s 64gb 정상작동 공기계 아이폰 공기계,"100,000원",서울 서초구 우면동
80,아이폰8플러스 64 아이폰se3 128,"200,000원",강원도 삼척시 정상동
81,아이폰13 팝니다. 자급제 아이폰,"700,000원",부산 수영구 망미동
82,아이폰 11프로 스페이스 그레이 64기가 (아이폰 11pro 스그),"530,000원",경기도 성남시 분당구 정자동
83,아이폰 10 아이폰 x 64GB 스페이스 블랙,"160,000원",제주 제주시 이도1동
84,아이폰 se3랑 아이폰 11프로나 12미니로 교환 원해요,,강원도 원주시 단구동
85,아이폰 x 아이폰 se 8 7 케이스 레옹 마틸다 새상품,"5,000원",서울 도봉구 창동
86,아이폰12미니 아이폰se 정품 실리콘 케이스 새상품급,"30,000원",경북 경주시 황성동
